id gender age edu country_id nationality city_id urban_rural political_stance presidential_approval_rating china_attitude america_attitude pe_fina job ing4 fam_fina etid news_read year state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
16151374 2 42 11 15 15 3170800 1 3 3 3 2 2 5 4 1 4 2 2017 1531 "minas gerais" "varzea da palma" NA NA 0 NA 0 NA
16150525 1 43 10 15 15 3502101 1 8 3 3 1 1 1 1 16 1 1 2017 1535 "sao paulo" andradina NA NA 0 NA 0 NA
16150492 2 16 9 15 15 2933208 1 5 2 2 1 3 4 5 1 4 2 2017 1529 bahia "vera cruz" NA NA 0 NA 0 NA
16150962 1 20 11 15 15 3159605 1 9 5 4 2 3 3 7 3 5 1 2017 1531 "minas gerais" "santa rita do sapucai" NA NA 0 NA 0 NA
16150208 1 35 2 15 15 5204805 1 1 NA 1 NA 3 1 5 NA 3 1 2017 1552 goias "campo alegre de goias" NA NA 0 NA 0 NA
16150433 2 51 7 15 15 1302603 1 NA 3 4 3 1 2 6 15 1 1 2017 1513 amazonas manaus NA NA 0 NA 0 NA
16150579 2 28 10 15 15 3522703 1 3 3 1 NA 3 1 4 3 1506 5 2017 1535 "sao paulo" itapolis NA NA 0 NA 0 NA
16150219 2 22 14 15 15 4316907 1 5 5 3 4 2 4 7 3 1 1 2017 1543 "rio grande do sul" "santa maria" NA NA 0 NA 0 NA
16150572 1 38 15 15 15 3106200 1 6 5 2 3 2 1 7 8 5 1 2017 1531 "minas gerais" "belo horizonte" 3106200 MG 1 2013 1 4
16150874 2 43 17 15 15 2933208 1 5 5 3 3 3 2 7 11 5 1 2017 1529 bahia "vera cruz" NA NA 0 NA 0 NA
16150843 1 29 11 15 15 4106902 1 9 3 2 4 3 6 3 7 5 1 2017 1541 parana curitiba NA NA 0 NA 0 NA
16150912 2 33 11 15 15 3521101 1 5 3 3 1 2 2 7 9 1506 1 2017 1535 "sao paulo" ipeuna NA NA 0 NA 0 NA
16151319 1 40 17 15 15 3550308 1 6 5 4 4 3 1 7 16 1 1 2017 1535 "sao paulo" "sao paulo" 3550308 SP 1 2012 1 5
16150217 1 18 11 15 15 1302603 1 4 3 3 NA 3 3 5 2 5 1 2017 1513 amazonas manaus NA NA 0 NA 0 NA
16151352 2 16 7 15 15 1302603 1 8 3 2 NA 2 4 3 1 4 1 2017 1513 amazonas manaus NA NA 0 NA 0 NA
16151476 1 31 10 15 15 2803609 1 6 5 1 1 3 1 2 8 1 1 2017 1528 sergipe laranjeiras NA NA 0 NA 0 NA
16150789 2 30 13 15 15 3550308 1 9 3 2 4 3 4 6 6 1 1 2017 1535 "sao paulo" "sao paulo" 3550308 SP 1 2012 1 5
16150292 1 50 16 15 15 3549904 1 8 3 2 3 2 1 7 10 1 1 2017 1535 "sao paulo" "sao jose dos campos" NA NA 0 NA 0 NA
