id gender age edu country_id city_id urban_rural political_stance presidential_approval_rating china_attitude america_attitude pe_fina job ing4 fam_fina etid news_read year state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
641 2 22 13 15 152803609 1 5 4 3 2 1 1 6 15 4 1 2012 1528 sergipe laranjeiras NA NA 0 NA 0 NA
1301 2 46 4 15 155212303 1 1 2 4 1 1 5 6 8 1 1 2012 1552 goias "leopoldo de bulhoes" NA NA 0 NA 0 NA
1114 1 85 11 15 153106705 1 10 5 3 1 2 6 7 16 1 1 2012 1531 "minas gerais" betim NA NA 0 NA 0 NA
1312 1 39 11 15 153300456 1 2 2 3 4 1 1 2 10 4 3 2012 1533 "rio de janeiro" "belford roxo" NA NA 0 NA 0 NA
668 1 34 11 15 151302603 1 9 2 3 2 2 1 6 16 5 NA 2012 1513 amazonas manaus NA NA 0 NA 0 NA
1347 1 56 8 15 153104007 1 6 2 2 3 2 2 7 16 1 2 2012 1531 "minas gerais" araxa NA NA 0 NA 0 NA
1068 2 21 13 15 154320008 1 5 3 2 2 3 1 7 10 1 2 2012 1543 "rio grande do sul" "sapucaia do sul" NA NA 0 NA 0 NA
44 2 39 10 15 152604106 1 8 2 2 2 1 3 5 9 4 1 2012 1526 pernambuco caruaru NA NA 0 NA 0 NA
1303 1 26 11 15 153304144 1 8 3 2 2 2 1 7 16 5 1 2012 1533 "rio de janeiro" queimados NA NA 0 NA 0 NA
1016 2 45 12 15 155003207 1 7 2 3 3 2 1 7 14 5 1 2012 1550 "mato grosso do sul" corumba NA NA 0 NA 0 NA
1141 1 49 4 15 152105302 1 10 2 3 3 1 1 7 7 1 1 2012 1521 maranhao imperatriz NA NA 0 NA 0 NA
720 2 20 9 15 155300108 1 5 5 4 4 1 3 4 16 1506 1 2012 1553 "distrito federal" brasilia 5300108 DF 1 2011 1 1
1039 1 40 11 15 154316907 1 5 NA 4 4 3 1 7 16 5 5 2012 1543 "rio grande do sul" "santa maria" NA NA 0 NA 0 NA
16 2 27 11 15 152933208 1 5 3 4 2 1 3 3 12 4 2 2012 1529 bahia "vera cruz" NA NA 0 NA 0 NA
1333 1 47 9 15 153303955 1 1 2 3 2 2 2 7 12 1506 1 2012 1533 "rio de janeiro" pinheiral NA NA 0 NA 0 NA
1408 1 56 7 15 151500107 1 8 2 2 2 1 1 7 16 5 1 2012 1515 para NA NA NA 0 NA 0 NA
1340 2 24 11 15 15355030 1 4 3 3 3 1 1 3 16 5 5 2012 1535 "sao paulo" NA NA NA 0 NA 0 NA
20 1 42 11 15 152927408 1 3 3 3 4 2 6 7 16 5 1 2012 1529 bahia salvador NA NA 0 NA 0 NA
1004 1 31 8 15 154318309 1 3 4 3 2 1 3 3 9 4 4 2012 1543 "rio grande do sul" "sao gabriel" NA NA 0 NA 0 NA
1059 2 52 8 15 154215802 1 5 2 2 2 2 1 3 NA 1 5 2012 1542 "santa catarina" "sao bento do sul" NA NA 0 NA 0 NA
747 1 31 2 15 155106208 1 5 2 3 2 2 1 7 16 5 1 2012 1551 "mato grosso" "nova brasilandia" NA NA 0 NA 0 NA
716 1 46 11 15 155300108 1 9 2 2 1 3 1 5 14 1 1 2012 1553 "distrito federal" brasilia 5300108 DF 1 2011 1 1
1324 1 29 11 15 153306305 1 5 3 2 2 2 3 3 7 1 2 2012 1533 "rio de janeiro" "volta redonda" NA NA 0 NA 0 NA
1418 1 28 6 15 152304400 1 4 1 3 1 1 1 5 9 1 1 2012 1523 ceara fortaleza NA NA 0 NA 0 NA
1266 1 45 8 15 154106902 1 1 3 4 4 2 1 3 16 5 5 2012 1541 parana curitiba NA NA 0 NA 0 NA
1097 2 31 11 15 153550308 1 5 1 2 1 1 5 6 13 5 1 2012 1535 "sao paulo" "sao paulo" NA NA 0 NA 0 NA
1320 2 30 16 15 153303955 1 5 3 2 2 2 1 7 9 5 1 2012 1533 "rio de janeiro" pinheiral NA NA 0 NA 0 NA
618 2 41 5 15 152933208 1 4 2 2 3 2 7 3 9 5 2 2012 1529 bahia "vera cruz" NA NA 0 NA 0 NA
1291 2 27 11 15 153550308 1 6 2 3 2 3 1 5 15 1 1 2012 1535 "sao paulo" "sao paulo" NA NA 0 NA 0 NA
684 1 37 9 15 151501402 1 5 3 4 4 1 1 7 11 1506 1 2012 1515 para belem NA NA 0 NA 0 NA
1211 2 32 5 15 151501303 1 NA 1 2 NA 2 5 NA 7 5 4 2012 1515 para NA NA NA 0 NA 0 NA
1319 1 21 3 15 153521101 1 5 2 3 2 2 1 7 16 5 2 2012 1535 "sao paulo" ipeuna NA NA 0 NA 0 NA
1087 1 44 11 15 154113700 1 10 2 1 1 1 1 5 15 5 2 2012 1541 parana londrina NA NA 0 NA 0 NA
1005 2 35 11 15 154318309 1 8 2 2 NA 2 7 7 7 1 4 2012 1543 "rio grande do sul" "sao gabriel" NA NA 0 NA 0 NA
1063 2 22 12 15 154106902 1 5 3 2 1 1 1 4 13 5 5 2012 1541 parana curitiba NA NA 0 NA 0 NA
1131 2 49 8 15 152611606 1 9 2 4 1 1 5 7 16 5 1 2012 1526 pernambuco recife NA NA 0 NA 0 NA
1133 1 23 11 15 152802908 1 8 3 3 2 2 1 5 9 5 1 2012 1528 sergipe itabaiana NA NA 0 NA 0 NA
1217 2 49 9 15 151502202 1 5 2 4 2 3 5 1 13 5 3 2012 1515 para NA NA NA 0 NA 0 NA
700 1 32 6 15 152304400 1 5 2 3 4 2 7 5 13 5 4 2012 1523 ceara fortaleza NA NA 0 NA 0 NA
1241 1 41 8 15 151302603 1 9 2 2 2 1 1 5 9 4 NA 2012 1513 amazonas manaus NA NA 0 NA 0 NA
1334 1 50 10 15 153205309 1 5 1 2 2 3 6 7 7 1 1 2012 1532 "espirito santo" vitoria NA NA 0 NA 0 NA
1348 2 45 14 15 153538006 1 8 2 1 NA 1 1 7 16 5 2 2012 1535 "sao paulo" pindamonhangaba NA NA 0 NA 0 NA
1077 2 25 11 15 155215231 1 6 3 2 2 3 1 3 16 1 2 2012 1552 goias "novo gama" NA NA 0 NA 0 NA
1342 1 22 10 15 153205309 1 4 2 4 4 2 2 4 11 5 1 2012 1532 "espirito santo" vitoria NA NA 0 NA 0 NA
